"country";"actor_id";"actor_name";"mechanism_id";"mechanism_name";"relationship_type";"source_id";"citation";"legal_anchor_type";"anchor_strength";"manual_review_required";"notes"
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-003";"political_parties";"reference";"MEX-LGDE";"MEX-LGDE 3 Fr. VII.";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-001";"vote";"reference";"MEX-LGDE";"MEX-LGDE 3 Fr. VIII.";"statutory";"4";"false";""
"Mexico";"MEX-ACT-007";"Citizens";"MEX-MECH-001";"vote";"reference";"MEX-LGDE";"MEX-LGDE 3 Fr. VIII.";"statutory";"4";"false";""
"Mexico";"MEX-ACT-010";"OPLEs";"MEX-MECH-001";"vote";"reference";"MEX-LGDE";"MEX-LGDE 3 Fr. VIII.";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-002";"right_to_stand_for_election";"reference";"MEX-LGDE";"MEX-LGDE 3 Fr. XIV.";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-001";"vote";"reference";"MEX-LGDE";"MEX-LGDE 7 Fr. VII.";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-006";"popular_consultation";"reference";"MEX-LGDE";"MEX-LGDE 7";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-004";"independent_candidacies";"reference";"MEX-LGDE";"MEX-LGDE 8 Fr. VIII.";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-012";"administrative_responsibility";"reference";"MEX-LGDE";"MEX-LGDE 11";"statutory";"4";"false";""
"Mexico";"MEX-ACT-008";"FGR";"MEX-MECH-009";"electoral_crimes";"reference";"MEX-LGDE";"MEX-LGDE 24";"statutory";"4";"false";""
"Mexico";"MEX-ACT-008";"FGR";"MEX-MECH-012";"administrative_responsibility";"reference";"MEX-LGDE";"MEX-LGDE 24";"statutory";"4";"false";""
"Mexico";"MEX-ACT-001";"INE";"MEX-MECH-009";"electoral_crimes";"reference";"MEX-LGDE";"MEX-LGDE 26";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-009";"electoral_crimes";"reference";"MEX-LGDE";"MEX-LGDE 26";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-003";"political_parties";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-008";"FGR";"MEX-MECH-003";"political_parties";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-009";"SFP";"MEX-MECH-003";"political_parties";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-004";"Congress";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-006";"Political_parties";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-008";"FGR";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
"Mexico";"MEX-ACT-009";"SFP";"MEX-MECH-008";"electoral_remedies";"reference";"MEX-LGDE";"MEX-LGDE 5o Fr. XXI";"statutory";"4";"false";""
